2023-11-05 15:41:28 228:  userName : admin
2023-11-05 15:41:28 229:  password : c93ccd78b2076528346216b3b2f701e6
2023-11-05 15:41:28 229:  verifyCode : 
2023-11-05 23:33:43 475:  目前時間 23:33:43.4016587 / 關閉車道 2
2023-11-05 23:33:43 523:  目前時間 23:33:43.4750913 / 開啟車道 3
2023-11-05 23:33:43 543:  目前時間 23:33:43.5238319 / 開啟車道 4
2023-11-05 23:33:43 554:  目前時間 23:33:43.5430885 / 關閉車道 5
2023-11-05 23:33:43 567:  目前時間 23:33:43.5551300 / 關閉車道 6
2023-11-05 23:35:34 975:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:35:34 998:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:35:35 007:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:35:35 013:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:35:35 019:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:35:35 025:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:35:35 032:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:35:35 039:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:35:35 046:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:35:35 053:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:35:35 059:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:35:35 066:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:35:35 072:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:35:35 077:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:35:35 083:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:37:34 899:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:37:34 908:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:37:34 916:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:37:34 923:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:37:34 929:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:37:34 934:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:37:34 940:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:37:34 946:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:37:34 952:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:37:34 957:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:37:34 964:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:37:34 973:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:37:34 978:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:37:34 985:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:37:34 994:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:39:34 880:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:39:34 888:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:39:34 896:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:39:34 903:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:39:34 910:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:39:34 917:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:39:34 925:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:39:34 932:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:39:34 939:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:39:34 946:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:39:34 953:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:39:34 960:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:39:34 967:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:39:34 975:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:39:34 985:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:41:34 914:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:41:34 923:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:41:34 930:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:41:34 938:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:41:34 946:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:41:34 954:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:41:34 961:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:41:34 970:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:41:34 979:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:41:34 988:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:41:34 997:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:41:35 006:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:41:35 017:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:41:35 026:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:41:35 041:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:43:34 900:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:43:34 907:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:43:34 914:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:43:34 919:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:43:34 925:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:43:34 930:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:43:34 936:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:43:34 942:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:43:34 947:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:43:34 953:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:43:34 959:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:43:34 964:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:43:34 969:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:43:34 976:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:43:34 983:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:45:34 910:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:45:34 918:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:45:34 924:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:45:34 930:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:45:34 936:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:45:34 941:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:45:34 946:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:45:34 953:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:45:34 958:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:45:34 964:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:45:34 970:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:45:34 976:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:45:34 982:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:45:34 987:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:45:34 994:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:47:34 922:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:47:34 929:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:47:34 936:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:47:34 943:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:47:34 948:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:47:34 955:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:47:34 963:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:47:34 968:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:47:34 976:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:47:34 983:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:47:34 988:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:47:34 995:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:47:35 002:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:47:35 007:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:47:35 014:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:49:34 955:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:49:34 964:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:49:34 970:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:49:34 977:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:49:34 984:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:49:34 991:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:49:34 997:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:49:35 004:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:49:35 011:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:49:35 017:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:49:35 025:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:49:35 031:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:49:35 039:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:49:35 045:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:49:35 053:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:51:34 952:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:51:34 959:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:51:34 966:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:51:34 973:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:51:34 981:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:51:34 988:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:51:34 997:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:51:35 006:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:51:35 015:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:51:35 024:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:51:35 032:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:51:35 040:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:51:35 047:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:51:35 054:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:51:35 062:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:53:34 962:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:53:34 970:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:53:34 976:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:53:34 982:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:53:34 987:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:53:34 995:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:53:35 001:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:53:35 006:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:53:35 014:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:53:35 020:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:53:35 027:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:53:35 034:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:53:35 041:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:53:35 048:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:53:35 055:  GetDeviceName => serialNumber = flap-15-on
