2023-10-09 03:00:17 570:  當前時間 03:00:17.5687309，啟用時間 08:00:00 - 22:00:00
2023-10-09 03:00:17 572:  通道自動切換模式 = 1
2023-10-09 03:00:17 573:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 03:00:17 574:  當前時間 03:00:17.5735982，啟用時間 08:00:00 - 22:00:00
2023-10-09 03:00:17 575:  通道自動切換模式 = 1
2023-10-09 03:00:17 576:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 03:00:17 577:  當前時間 03:00:17.5768467，啟用時間 22:00:00 - 08:00:00
2023-10-09 03:00:17 578:  通道自動切換模式 = 1
2023-10-09 03:00:17 578:  此通道開始自動切換，目前此狀態回開啟狀態
2023-10-09 03:00:17 580:  當前時間 03:00:17.5782812，啟用時間 22:00:00 - 08:00:00
2023-10-09 03:00:17 581:  通道自動切換模式 = 1
2023-10-09 03:00:17 582:  此通道開始自動切換，目前此狀態回開啟狀態
2023-10-09 09:13:00 853:  SwitchLaneConfig 失敗 SqlSugar.SqlSugarException: English Message : Connection open error . Reading from the stream has failed.
Chinese Message :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，实在找不到原因请先Google错误信息：Reading from the stream has failed..
   於 SqlSugar.AdoProvider.GetDataReader(String sql, SugarParameter[] parameters)
   於 SqlSugar.QueryableProvider`1.GetData[TResult](KeyValuePair`2 sqlObj)
   於 SqlSugar.QueryableProvider`1._ToList[TResult]()
   於 SqlSugar.QueryableProvider`1.ToList()
   於 Elight.Logic.PConfig.ChannelLogic.GetListAll() 於 C:\Project\chenjunweii\ParkingInterface-1.2\Elight.Logic\PConfig\ChannelLogic.cs: 行 41
   於 Elight.WebUI.Areas.LocalInterface.Controllers.LaneSwitchController.SwitchLaneConfig() 於 C:\Project\chenjunweii\ParkingInterface-1.2\Elight.WebUI\Areas\LocalInterface\Controllers\LaneSwitchController.cs: 行 44
2023-10-09 09:25:56 218:  當前時間 09:25:56.2182233，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:25:56 219:  通道自動切換模式 = 1
2023-10-09 09:25:56 219:  此通道開始自動切換，目前此狀態回開啟狀態
2023-10-09 09:25:56 239:  目前時間 09:25:56.2182233 / 關閉車道 1
2023-10-09 09:25:56 239:  當前時間 09:25:56.2396140，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:25:56 240:  通道自動切換模式 = 1
2023-10-09 09:25:56 240:  此通道開始自動切換，目前此狀態回開啟狀態
2023-10-09 09:25:56 262:  目前時間 09:25:56.2396140 / 關閉車道 2
2023-10-09 09:25:56 263:  當前時間 09:25:56.2624337，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:25:56 263:  通道自動切換模式 = 1
2023-10-09 09:25:56 263:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:25:56 263:  當前時間 09:25:56.2635370，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:25:56 263:  通道自動切換模式 = 1
2023-10-09 09:25:56 263:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:00 165:  GetDeviceName => serialNumber = flap-2-on
2023-10-09 09:26:00 174:  GetDeviceName => serialNumber = flap-3-on
2023-10-09 09:26:01 143:  當前時間 09:26:01.1427161，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:01 143:  通道自動切換模式 = 1
2023-10-09 09:26:01 144:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:01 145:  當前時間 09:26:01.1455369，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:01 146:  通道自動切換模式 = 1
2023-10-09 09:26:01 147:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:01 147:  當前時間 09:26:01.1472657，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:01 147:  通道自動切換模式 = 1
2023-10-09 09:26:01 148:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:01 149:  當前時間 09:26:01.1490450，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:01 149:  通道自動切換模式 = 1
2023-10-09 09:26:01 150:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:06 134:  當前時間 09:26:06.1346096，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:06 135:  通道自動切換模式 = 1
2023-10-09 09:26:06 135:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:06 135:  當前時間 09:26:06.1351322，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:06 135:  通道自動切換模式 = 1
2023-10-09 09:26:06 135:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:06 135:  當前時間 09:26:06.1356575，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:06 135:  通道自動切換模式 = 1
2023-10-09 09:26:06 136:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:06 136:  當前時間 09:26:06.1361851，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:06 136:  通道自動切換模式 = 1
2023-10-09 09:26:06 136:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:11 157:  當前時間 09:26:11.1564937，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:11 157:  通道自動切換模式 = 1
2023-10-09 09:26:11 157:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:11 158:  當前時間 09:26:11.1576985，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:11 158:  通道自動切換模式 = 1
2023-10-09 09:26:11 158:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:11 158:  當前時間 09:26:11.1582480，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:11 158:  通道自動切換模式 = 1
2023-10-09 09:26:11 158:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:11 159:  當前時間 09:26:11.1588624，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:11 159:  通道自動切換模式 = 1
2023-10-09 09:26:11 159:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:16 165:  當前時間 09:26:16.1655572，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:16 166:  通道自動切換模式 = 1
2023-10-09 09:26:16 166:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:16 167:  當前時間 09:26:16.1669986，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:16 167:  通道自動切換模式 = 1
2023-10-09 09:26:16 167:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:16 167:  當前時間 09:26:16.1677803，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:16 168:  通道自動切換模式 = 1
2023-10-09 09:26:16 168:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:16 168:  當前時間 09:26:16.1689072，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:16 169:  通道自動切換模式 = 1
2023-10-09 09:26:16 169:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:21 161:  當前時間 09:26:21.1611526，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:21 162:  通道自動切換模式 = 1
2023-10-09 09:26:21 162:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:21 162:  當前時間 09:26:21.1622075，啟用時間 08:00:00 - 22:00:00
2023-10-09 09:26:21 162:  通道自動切換模式 = 1
2023-10-09 09:26:21 162:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:21 163:  當前時間 09:26:21.1632977，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:21 163:  通道自動切換模式 = 1
2023-10-09 09:26:21 163:  此通道開始自動切換，目前此狀態回關閉狀態
2023-10-09 09:26:21 164:  當前時間 09:26:21.1639606，啟用時間 22:00:00 - 08:00:00
2023-10-09 09:26:21 164:  通道自動切換模式 = 1
2023-10-09 09:26:21 164:  此通道開始自動切換，目前此狀態回關閉狀態
